location,date,vaccine,total_vaccinations
Austria,2021-08-13,Oxford/AstraZeneca,1586142
Austria,2021-08-13,Pfizer/BioNTech,7128476
Austria,2021-08-20,Johnson&Johnson,239125
Austria,2021-08-20,Moderna,1005562
Austria,2021-08-20,Oxford/AstraZeneca,1589504
Austria,2021-08-20,Pfizer/BioNTech,7220530
Austria,2021-08-27,Johnson&Johnson,252693
Austria,2021-08-27,Moderna,1009179
Austria,2021-08-27,Oxford/AstraZeneca,1591784
Austria,2021-08-27,Pfizer/BioNTech,7277667
Austria,2021-09-03,Johnson&Johnson,265317
Austria,2021-09-03,Moderna,1013838
Austria,2021-09-03,Oxford/AstraZeneca,1594153
Austria,2021-09-03,Pfizer/BioNTech,7325591
Austria,2021-09-10,Johnson&Johnson,278165
Austria,2021-09-10,Moderna,1016442
Austria,2021-09-10,Oxford/AstraZeneca,1595561
Austria,2021-09-10,Pfizer/BioNTech,7372476
Belgium,2021-01-08,Johnson&Johnson,0
Belgium,2021-01-08,Moderna,0
Belgium,2021-01-08,Oxford/AstraZeneca,0
Belgium,2021-01-08,Pfizer/BioNTech,27987
Belgium,2021-01-15,Johnson&Johnson,0
Belgium,2021-01-15,Moderna,35
Belgium,2021-01-15,Oxford/AstraZeneca,0
Belgium,2021-01-15,Pfizer/BioNTech,126750
Belgium,2021-01-22,Johnson&Johnson,0
Belgium,2021-01-22,Moderna,4493
Belgium,2021-01-22,Oxford/AstraZeneca,0
Belgium,2021-01-22,Pfizer/BioNTech,244427
Belgium,2021-01-29,Johnson&Johnson,0
Belgium,2021-01-29,Moderna,6181
Belgium,2021-01-29,Oxford/AstraZeneca,0
Belgium,2021-01-29,Pfizer/BioNTech,334015
Belgium,2021-02-05,Johnson&Johnson,0
Belgium,2021-02-05,Moderna,15919
Belgium,2021-02-05,Oxford/AstraZeneca,0
Belgium,2021-02-05,Pfizer/BioNTech,462934
Belgium,2021-02-12,Johnson&Johnson,0
Belgium,2021-02-12,Moderna,25488
Belgium,2021-02-12,Oxford/AstraZeneca,348
Belgium,2021-02-12,Pfizer/BioNTech,598344
Belgium,2021-02-19,Johnson&Johnson,0
Belgium,2021-02-19,Moderna,30274
Belgium,2021-02-19,Oxford/AstraZeneca,10715
Belgium,2021-02-19,Pfizer/BioNTech,698889
Belgium,2021-02-26,Johnson&Johnson,0
Belgium,2021-02-26,Moderna,32730
Belgium,2021-02-26,Oxford/AstraZeneca,45224
Belgium,2021-02-26,Pfizer/BioNTech,787397
Belgium,2021-03-05,Johnson&Johnson,0
Belgium,2021-03-05,Moderna,51534
Belgium,2021-03-05,Oxford/AstraZeneca,109928
Belgium,2021-03-05,Pfizer/BioNTech,876329
Belgium,2021-03-12,Johnson&Johnson,0
Belgium,2021-03-12,Moderna,67419
Belgium,2021-03-12,Oxford/AstraZeneca,190971
Belgium,2021-03-12,Pfizer/BioNTech,972628
Belgium,2021-03-19,Johnson&Johnson,0
Belgium,2021-03-19,Moderna,89858
Belgium,2021-03-19,Oxford/AstraZeneca,350656
Belgium,2021-03-19,Pfizer/BioNTech,1082905
Belgium,2021-03-26,Johnson&Johnson,0
Belgium,2021-03-26,Moderna,100157
Belgium,2021-03-26,Oxford/AstraZeneca,461238
Belgium,2021-03-26,Pfizer/BioNTech,1279352
Belgium,2021-04-02,Johnson&Johnson,0
Belgium,2021-04-02,Moderna,127922
Belgium,2021-04-02,Oxford/AstraZeneca,521165
Belgium,2021-04-02,Pfizer/BioNTech,1537834
Belgium,2021-04-09,Johnson&Johnson,0
Belgium,2021-04-09,Moderna,175105
Belgium,2021-04-09,Oxford/AstraZeneca,600811
Belgium,2021-04-09,Pfizer/BioNTech,1855765
Belgium,2021-04-16,Johnson&Johnson,0
Belgium,2021-04-16,Moderna,209674
Belgium,2021-04-16,Oxford/AstraZeneca,781647
Belgium,2021-04-16,Pfizer/BioNTech,2132966
Belgium,2021-04-23,Johnson&Johnson,0
Belgium,2021-04-23,Moderna,260986
Belgium,2021-04-23,Oxford/AstraZeneca,838516
Belgium,2021-04-23,Pfizer/BioNTech,2449867
Belgium,2021-04-30,Johnson&Johnson,2987
Belgium,2021-04-30,Moderna,287998
Belgium,2021-04-30,Oxford/AstraZeneca,903950
Belgium,2021-04-30,Pfizer/BioNTech,2805557
Belgium,2021-05-07,Johnson&Johnson,23837
Belgium,2021-05-07,Moderna,345798
Belgium,2021-05-07,Oxford/AstraZeneca,1006606
Belgium,2021-05-07,Pfizer/BioNTech,3357456
Belgium,2021-05-14,Johnson&Johnson,29530
Belgium,2021-05-14,Moderna,400285
Belgium,2021-05-14,Oxford/AstraZeneca,1099555
Belgium,2021-05-14,Pfizer/BioNTech,3808833
Belgium,2021-05-21,Johnson&Johnson,49990
Belgium,2021-05-21,Moderna,502069
Belgium,2021-05-21,Oxford/AstraZeneca,1366353
Belgium,2021-05-21,Pfizer/BioNTech,4177678
Belgium,2021-05-28,Johnson&Johnson,73730
Belgium,2021-05-28,Moderna,576384
Belgium,2021-05-28,Oxford/AstraZeneca,1466174
Belgium,2021-05-28,Pfizer/BioNTech,4619445
Belgium,2021-06-04,Johnson&Johnson,97507
Belgium,2021-06-04,Moderna,652607
Belgium,2021-06-04,Oxford/AstraZeneca,1569455
Belgium,2021-06-04,Pfizer/BioNTech,5317945
Belgium,2021-06-11,Johnson&Johnson,143689
Belgium,2021-06-11,Moderna,738890
Belgium,2021-06-11,Oxford/AstraZeneca,1756366
Belgium,2021-06-11,Pfizer/BioNTech,6071275
Belgium,2021-06-18,Johnson&Johnson,213045
Belgium,2021-06-18,Moderna,845150
Belgium,2021-06-18,Oxford/AstraZeneca,1891195
Belgium,2021-06-18,Pfizer/BioNTech,6783999
Belgium,2021-06-25,Johnson&Johnson,243957
Belgium,2021-06-25,Moderna,957709
Belgium,2021-06-25,Oxford/AstraZeneca,1960288
Belgium,2021-06-25,Pfizer/BioNTech,7443748
Belgium,2021-07-02,Johnson&Johnson,267370
Belgium,2021-07-02,Moderna,1041204
Belgium,2021-07-02,Oxford/AstraZeneca,2060074
Belgium,2021-07-02,Pfizer/BioNTech,7912450
Belgium,2021-07-09,Johnson&Johnson,282402
Belgium,2021-07-09,Moderna,1102723
Belgium,2021-07-09,Oxford/AstraZeneca,2287101
Belgium,2021-07-09,Pfizer/BioNTech,8446047
Belgium,2021-07-16,Johnson&Johnson,300403
Belgium,2021-07-16,Moderna,1157388
Belgium,2021-07-16,Oxford/AstraZeneca,2441445
Belgium,2021-07-16,Pfizer/BioNTech,8953431
Belgium,2021-07-23,Johnson&Johnson,310965
Belgium,2021-07-23,Moderna,1210866
Belgium,2021-07-23,Oxford/AstraZeneca,2547635
Belgium,2021-07-23,Pfizer/BioNTech,9505062
Belgium,2021-07-30,Johnson&Johnson,320110
Belgium,2021-07-30,Moderna,1241748
Belgium,2021-07-30,Oxford/AstraZeneca,2638957
Belgium,2021-07-30,Pfizer/BioNTech,10013629
Belgium,2021-08-06,Johnson&Johnson,329109
Belgium,2021-08-06,Moderna,1265146
Belgium,2021-08-06,Oxford/AstraZeneca,2699497
Belgium,2021-08-06,Pfizer/BioNTech,10371466
Belgium,2021-08-13,Johnson&Johnson,336284
Belgium,2021-08-13,Moderna,1282423
Belgium,2021-08-13,Oxford/AstraZeneca,2812505
Belgium,2021-08-13,Pfizer/BioNTech,10522082
Belgium,2021-08-20,Johnson&Johnson,341842
Belgium,2021-08-20,Moderna,1293803
Belgium,2021-08-20,Oxford/AstraZeneca,2822028
Belgium,2021-08-20,Pfizer/BioNTech,10620824
Belgium,2021-08-27,Johnson&Johnson,347383
Belgium,2021-08-27,Moderna,1301497
Belgium,2021-08-27,Oxford/AstraZeneca,2825459
Belgium,2021-08-27,Pfizer/BioNTech,10692297
Belgium,2021-09-03,Johnson&Johnson,351975
Belgium,2021-09-03,Moderna,1310642
Belgium,2021-09-03,Oxford/AstraZeneca,2827828
Belgium,2021-09-03,Pfizer/BioNTech,10743619
Belgium,2021-09-10,Johnson&Johnson,353159
Belgium,2021-09-10,Moderna,1315014
Belgium,2021-09-10,Oxford/AstraZeneca,2828269
Belgium,2021-09-10,Pfizer/BioNTech,10757111
Bulgaria,2021-01-01,Pfizer/BioNTech,0
Bulgaria,2021-01-08,Moderna,0
Bulgaria,2021-01-08,Pfizer/BioNTech,13473
Bulgaria,2021-01-15,Moderna,491
Bulgaria,2021-01-15,Pfizer/BioNTech,17962
Bulgaria,2021-01-22,Moderna,843
Bulgaria,2021-01-22,Pfizer/BioNTech,25300
Bulgaria,2021-01-29,Moderna,1053
Bulgaria,2021-01-29,Pfizer/BioNTech,40072
Bulgaria,2021-02-05,Moderna,2207
Bulgaria,2021-02-05,Oxford/AstraZeneca,10
Bulgaria,2021-02-05,Pfizer/BioNTech,54821
Bulgaria,2021-02-12,Moderna,3333
Bulgaria,2021-02-12,Oxford/AstraZeneca,2035
Bulgaria,2021-02-12,Pfizer/BioNTech,70020
Bulgaria,2021-02-19,Moderna,6446
Bulgaria,2021-02-19,Oxford/AstraZeneca,28947
Bulgaria,2021-02-19,Pfizer/BioNTech,83960
Bulgaria,2021-02-26,Moderna,10475
Bulgaria,2021-02-26,Oxford/AstraZeneca,97630
Bulgaria,2021-02-26,Pfizer/BioNTech,104340
Bulgaria,2021-03-05,Moderna,14820
Bulgaria,2021-03-05,Oxford/AstraZeneca,143932
Bulgaria,2021-03-05,Pfizer/BioNTech,129880
Bulgaria,2021-03-12,Moderna,16988
Bulgaria,2021-03-12,Oxford/AstraZeneca,174209
Bulgaria,2021-03-12,Pfizer/BioNTech,147683
Bulgaria,2021-03-19,Moderna,20921
Bulgaria,2021-03-19,Oxford/AstraZeneca,179029
Bulgaria,2021-03-19,Pfizer/BioNTech,168956
Bulgaria,2021-03-26,Moderna,34004
Bulgaria,2021-03-26,Oxford/AstraZeneca,206835
Bulgaria,2021-03-26,Pfizer/BioNTech,195704
Bulgaria,2021-04-02,Moderna,44809
Bulgaria,2021-04-02,Oxford/AstraZeneca,230180
Bulgaria,2021-04-02,Pfizer/BioNTech,228583
Bulgaria,2021-04-09,Moderna,59160
Bulgaria,2021-04-09,Oxford/AstraZeneca,238387
Bulgaria,2021-04-09,Pfizer/BioNTech,275118
Bulgaria,2021-04-16,Johnson&Johnson,0
Bulgaria,2021-04-16,Moderna,74318
Bulgaria,2021-04-16,Oxford/AstraZeneca,241707
Bulgaria,2021-04-16,Pfizer/BioNTech,322422
Bulgaria,2021-04-23,Johnson&Johnson,0
Bulgaria,2021-04-23,Moderna,93241
Bulgaria,2021-04-23,Oxford/AstraZeneca,247383
Bulgaria,2021-04-23,Pfizer/BioNTech,382650
Bulgaria,2021-04-30,Johnson&Johnson,0
Bulgaria,2021-04-30,Moderna,108865
Bulgaria,2021-04-30,Oxford/AstraZeneca,263756
Bulgaria,2021-04-30,Pfizer/BioNTech,452036
Bulgaria,2021-05-07,Johnson&Johnson,0
Bulgaria,2021-05-07,Moderna,122688
Bulgaria,2021-05-07,Oxford/AstraZeneca,300451
Bulgaria,2021-05-07,Pfizer/BioNTech,514960
Bulgaria,2021-05-14,Johnson&Johnson,398
Bulgaria,2021-05-14,Moderna,145571
Bulgaria,2021-05-14,Oxford/AstraZeneca,364379
Bulgaria,2021-05-14,Pfizer/BioNTech,606439
Bulgaria,2021-05-21,Johnson&Johnson,2629
Bulgaria,2021-05-21,Moderna,165767
Bulgaria,2021-05-21,Oxford/AstraZeneca,401422
Bulgaria,2021-05-21,Pfizer/BioNTech,690983
Bulgaria,2021-05-28,Johnson&Johnson,6276
Bulgaria,2021-05-28,Moderna,181502
Bulgaria,2021-05-28,Oxford/AstraZeneca,411232
Bulgaria,2021-05-28,Pfizer/BioNTech,754371
Bulgaria,2021-06-04,Johnson&Johnson,11142
Bulgaria,2021-06-04,Moderna,190457
Bulgaria,2021-06-04,Oxford/AstraZeneca,435357
Bulgaria,2021-06-04,Pfizer/BioNTech,827459
Bulgaria,2021-06-11,Johnson&Johnson,17987
Bulgaria,2021-06-11,Moderna,202784
Bulgaria,2021-06-11,Oxford/AstraZeneca,457900
Bulgaria,2021-06-11,Pfizer/BioNTech,898271
Bulgaria,2021-06-18,Johnson&Johnson,25928
Bulgaria,2021-06-18,Moderna,216421
Bulgaria,2021-06-18,Oxford/AstraZeneca,467870
Bulgaria,2021-06-18,Pfizer/BioNTech,949706
Bulgaria,2021-06-25,Johnson&Johnson,33099
Bulgaria,2021-06-25,Moderna,225728
Bulgaria,2021-06-25,Oxford/AstraZeneca,470990
Bulgaria,2021-06-25,Pfizer/BioNTech,997114
Bulgaria,2021-07-02,Johnson&Johnson,39994
Bulgaria,2021-07-02,Moderna,234047
Bulgaria,2021-07-02,Oxford/AstraZeneca,472860
Bulgaria,2021-07-02,Pfizer/BioNTech,1042927
Bulgaria,2021-07-09,Johnson&Johnson,48424
Bulgaria,2021-07-09,Moderna,241862
Bulgaria,2021-07-09,Oxford/AstraZeneca,474021
Bulgaria,2021-07-09,Pfizer/BioNTech,1086383
Bulgaria,2021-07-16,Johnson&Johnson,58430
Bulgaria,2021-07-16,Moderna,247955
Bulgaria,2021-07-16,Oxford/AstraZeneca,474812
Bulgaria,2021-07-16,Pfizer/BioNTech,1127926
Bulgaria,2021-07-23,Johnson&Johnson,68108
Bulgaria,2021-07-23,Moderna,252761
Bulgaria,2021-07-23,Oxford/AstraZeneca,475720
Bulgaria,2021-07-23,Pfizer/BioNTech,1167720
Bulgaria,2021-07-30,Johnson&Johnson,78440
Bulgaria,2021-07-30,Moderna,258066
Bulgaria,2021-07-30,Oxford/AstraZeneca,476371
Bulgaria,2021-07-30,Pfizer/BioNTech,1212406
Bulgaria,2021-08-06,Johnson&Johnson,89960
Bulgaria,2021-08-06,Moderna,263844
Bulgaria,2021-08-06,Oxford/AstraZeneca,476700
Bulgaria,2021-08-06,Pfizer/BioNTech,1256750
Bulgaria,2021-08-13,Johnson&Johnson,102550
Bulgaria,2021-08-13,Moderna,269269
Bulgaria,2021-08-13,Oxford/AstraZeneca,477025
Bulgaria,2021-08-13,Pfizer/BioNTech,1298259
Bulgaria,2021-08-20,Johnson&Johnson,116845
Bulgaria,2021-08-20,Moderna,274596
Bulgaria,2021-08-20,Oxford/AstraZeneca,477363
Bulgaria,2021-08-20,Pfizer/BioNTech,1341032
Bulgaria,2021-08-27,Johnson&Johnson,133004
Bulgaria,2021-08-27,Moderna,280188
Bulgaria,2021-08-27,Oxford/AstraZeneca,477659
Bulgaria,2021-08-27,Pfizer/BioNTech,1387124
Bulgaria,2021-09-03,Johnson&Johnson,149767
Bulgaria,2021-09-03,Moderna,285738
Bulgaria,2021-09-03,Oxford/AstraZeneca,477825
Bulgaria,2021-09-03,Pfizer/BioNTech,1428817
Bulgaria,2021-09-10,Johnson&Johnson,161596
Bulgaria,2021-09-10,Moderna,285738
Bulgaria,2021-09-10,Oxford/AstraZeneca,477825
Bulgaria,2021-09-10,Pfizer/BioNTech,1428817
Chile,2020-12-24,Pfizer/BioNTech,420
Chile,2020-12-25,Pfizer/BioNTech,5201
Chile,2020-12-26,Pfizer/BioNTech,8344
Chile,2020-12-27,Pfizer/BioNTech,8655
Chile,2020-12-28,Pfizer/BioNTech,8655
Chile,2020-12-29,Pfizer/BioNTech,8655
Chile,2020-12-30,Pfizer/BioNTech,8655
Chile,2020-12-31,Pfizer/BioNTech,8655
Chile,2021-01-01,Pfizer/BioNTech,8655
Chile,2021-01-02,Pfizer/BioNTech,8655
Chile,2021-01-03,Pfizer/BioNTech,8655
Chile,2021-01-04,Pfizer/BioNTech,9060
Chile,2021-01-05,Pfizer/BioNTech,10503
Chile,2021-01-06,Pfizer/BioNTech,10708
Chile,2021-01-07,Pfizer/BioNTech,10708
Chile,2021-01-08,Pfizer/BioNTech,10708
Chile,2021-01-09,Pfizer/BioNTech,10708
Chile,2021-01-10,Pfizer/BioNTech,10708
Chile,2021-01-11,Pfizer/BioNTech,10708
Chile,2021-01-12,Pfizer/BioNTech,10708
Chile,2021-01-13,Pfizer/BioNTech,11741
Chile,2021-01-14,Pfizer/BioNTech,18657
Chile,2021-01-15,Pfizer/BioNTech,22088
Chile,2021-01-16,Pfizer/BioNTech,22178
Chile,2021-01-17,Pfizer/BioNTech,22178
Chile,2021-01-18,Pfizer/BioNTech,33229
Chile,2021-01-19,Pfizer/BioNTech,52591
Chile,2021-01-20,Pfizer/BioNTech,61900
Chile,2021-01-21,Pfizer/BioNTech,64957
Chile,2021-01-22,Pfizer/BioNTech,65372
Chile,2021-01-23,Pfizer/BioNTech,65372
Chile,2021-01-24,Pfizer/BioNTech,65372
Chile,2021-01-25,Pfizer/BioNTech,66792
Chile,2021-01-26,Pfizer/BioNTech,67408
Chile,2021-01-27,Pfizer/BioNTech,67443
Chile,2021-01-28,Pfizer/BioNTech,67443
Chile,2021-01-29,Pfizer/BioNTech,67448
Chile,2021-01-30,Pfizer/BioNTech,67449
Chile,2021-01-31,Pfizer/BioNTech,67449
Chile,2021-02-01,Pfizer/BioNTech,67449
Chile,2021-02-02,Pfizer/BioNTech,67455
Chile,2021-02-02,Sinovac,13185
Chile,2021-02-03,Pfizer/BioNTech,67455
Chile,2021-02-03,Sinovac,183557
Chile,2021-02-04,Pfizer/BioNTech,69583
Chile,2021-02-04,Sinovac,357570
Chile,2021-02-05,Pfizer/BioNTech,70271
Chile,2021-02-05,Sinovac,526371
Chile,2021-02-06,Pfizer/BioNTech,70276
Chile,2021-02-06,Sinovac,554222
Chile,2021-02-07,Pfizer/BioNTech,70278
Chile,2021-02-07,Sinovac,562860
Chile,2021-02-08,Pfizer/BioNTech,82078
Chile,2021-02-08,Sinovac,784347
Chile,2021-02-09,Pfizer/BioNTech,101558
Chile,2021-02-09,Sinovac,1026750
Chile,2021-02-10,Pfizer/BioNTech,110003
Chile,2021-02-10,Sinovac,1299089
Chile,2021-02-11,Pfizer/BioNTech,113076
Chile,2021-02-11,Sinovac,1550297
Chile,2021-02-12,Pfizer/BioNTech,113436
Chile,2021-02-12,Sinovac,1779416
Chile,2021-02-13,Pfizer/BioNTech,113469
Chile,2021-02-13,Sinovac,1808939
Chile,2021-02-14,Pfizer/BioNTech,113469
Chile,2021-02-14,Sinovac,1813407
Chile,2021-02-15,Pfizer/BioNTech,113470
Chile,2021-02-15,Sinovac,2079269
Chile,2021-02-16,Pfizer/BioNTech,113482
Chile,2021-02-16,Sinovac,2299335
Chile,2021-02-17,Pfizer/BioNTech,113482
Chile,2021-02-17,Sinovac,2487382
Chile,2021-02-18,Pfizer/BioNTech,113485
Chile,2021-02-18,Sinovac,2642650
Chile,2021-02-19,Pfizer/BioNTech,113485
Chile,2021-02-19,Sinovac,2784783
Chile,2021-02-20,Pfizer/BioNTech,113487
Chile,2021-02-20,Sinovac,2794423
Chile,2021-02-21,Pfizer/BioNTech,113487
Chile,2021-02-21,Sinovac,2795585
Chile,2021-02-22,Pfizer/BioNTech,125579
Chile,2021-02-22,Sinovac,2891623
Chile,2021-02-23,Pfizer/BioNTech,150423
Chile,2021-02-23,Sinovac,2961020
Chile,2021-02-24,Pfizer/BioNTech,178942
Chile,2021-02-24,Sinovac,3018776
Chile,2021-02-25,Pfizer/BioNTech,212660
Chile,2021-02-25,Sinovac,3071140
Chile,2021-02-26,Pfizer/BioNTech,242391
Chile,2021-02-26,Sinovac,3119807
Chile,2021-02-27,Pfizer/BioNTech,248716
Chile,2021-02-27,Sinovac,3123529
Chile,2021-02-28,Pfizer/BioNTech,248718
Chile,2021-02-28,Sinovac,3123882
Chile,2021-03-01,Pfizer/BioNTech,263622
Chile,2021-03-01,Sinovac,3246540
Chile,2021-03-02,Pfizer/BioNTech,294545
Chile,2021-03-02,Sinovac,3386998
Chile,2021-03-03,Pfizer/BioNTech,313112
Chile,2021-03-03,Sinovac,3680383
Chile,2021-03-04,Pfizer/BioNTech,322222
Chile,2021-03-04,Sinovac,3981884
Chile,2021-03-05,Pfizer/BioNTech,327978
Chile,2021-03-05,Sinovac,4274065
Chile,2021-03-06,Pfizer/BioNTech,328322
Chile,2021-03-06,Sinovac,4307507
Chile,2021-03-07,Pfizer/BioNTech,328428
Chile,2021-03-07,Sinovac,4315366
Chile,2021-03-08,Pfizer/BioNTech,341027
Chile,2021-03-08,Sinovac,4653476
Chile,2021-03-09,Pfizer/BioNTech,378610
Chile,2021-03-09,Sinovac,4992499
Chile,2021-03-10,Pfizer/BioNTech,420223
Chile,2021-03-10,Sinovac,5352300
Chile,2021-03-11,Pfizer/BioNTech,465965
Chile,2021-03-11,Sinovac,5723689
Chile,2021-03-12,Pfizer/BioNTech,483379
Chile,2021-03-12,Sinovac,6080719
Chile,2021-03-13,Pfizer/BioNTech,483932
Chile,2021-03-13,Sinovac,6130626
Chile,2021-03-14,Pfizer/BioNTech,483932
Chile,2021-03-14,Sinovac,6137213
Chile,2021-03-15,Pfizer/BioNTech,507854
Chile,2021-03-15,Sinovac,6543640
Chile,2021-03-16,Pfizer/BioNTech,561401
Chile,2021-03-16,Sinovac,6900406
Chile,2021-03-17,Pfizer/BioNTech,616944
Chile,2021-03-17,Sinovac,7212204
Chile,2021-03-18,Pfizer/BioNTech,666548
Chile,2021-03-18,Sinovac,7497604
Chile,2021-03-19,Pfizer/BioNTech,689721
Chile,2021-03-19,Sinovac,7768980
Chile,2021-03-20,Pfizer/BioNTech,691641
Chile,2021-03-20,Sinovac,7801258
Chile,2021-03-21,Pfizer/BioNTech,691651
Chile,2021-03-21,Sinovac,7805272
Chile,2021-03-22,Pfizer/BioNTech,727748
Chile,2021-03-22,Sinovac,8037960
Chile,2021-03-23,Pfizer/BioNTech,787683
Chile,2021-03-23,Sinovac,8218946
Chile,2021-03-24,Pfizer/BioNTech,840586
Chile,2021-03-24,Sinovac,8385153
